"Time,sec",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,IslAv
651.1551429,83.559,30.173,82.516,67.807,100.14,114.659,95.185,83.347,49.372,88.394,104.159,72.754,144.097,111.074,92.955,49.725,79.386,119.213,78.912,73.63,76.279,103.648,211.956,165.933,137.183,203.418,228.646,81.24,86.072,104.571,155.115,142.426,81.231,133.384,141.373,142.212,104.498,82.657,43.173,78.504,102.337,119.562,82.568,61.299,82.418,98.72,43.583,136.133,137.496,103.851
651.6462101,79.835,29.249,81.942,65.743,99.732,112.626,86.354,85.798,47.319,91.628,102.914,71.057,138.527,107.029,91.245,54.208,81.855,121.044,76.971,69.153,80.712,101.935,212.938,159.067,137.462,194.646,239.014,91.256,84.345,109.777,159.409,149.182,83.954,129.031,149.187,149.549,112.999,86.513,45.847,80.903,103.293,126.183,83.056,60.32,83.932,98.303,45.704,155.439,149.837,105.266
652.1372773,77.719,28.914,82.568,73.222,96.296,113.307,88.543,86.072,50.448,87.83,103.321,69.523,146.29,107.274,89.625,51.476,82.393,120.921,76.66,74.843,74.6,100.003,201.818,156.757,141.725,192.214,219.951,100.852,86.192,104.853,159.85,150.878,81.55,125.415,143.78,135.79,116.561,85.546,46.638,72.92,103.623,122.674,79.659,59.175,81.099,106.01,47.309,164.719,170.726,104.901
652.6283445,79.151,26.414,82.948,71.211,96.757,115.281,91.171,85.453,48.417,89.607,106.368,69.746,142.066,112.668,89.01,52.219,79.174,119.973,73.134,68.589,74.254,103.781,206.796,163.771,140.187,207.486,229.194,96.216,93.076,110.805,163.317,146.441,84.263,136.238,146.135,142.431,122.369,86.391,45.008,68.814,100.173,122.625,77.5,61.84,85.377,95.939,45.514,168.137,170.553,106
653.1194118,77.201,26.98,84.916,68.211,95.309,117.816,87.808,82.688,48.34,89.279,106.573,73.773,139,109.79,90.68,52.513,78.853,115.596,74.553,75.524,77.913,102.791,208.085,168.777,147.748,208.341,228.778,124.235,98.159,107.231,163.833,152.852,82.63,133.658,144.421,142.648,135.566,94.897,48.3,84.028,102.339,121.958,81.169,62.698,80.82,102.79,44.937,188.995,187.842,108.65
653.610479,82.245,30.86,80.801,71.497,97.243,117.452,89.582,89.187,49.917,90.692,108.698,69.004,142.025,108.608,90.73,53.792,80.252,117.171,73.032,70.186,77.589,101.841,213.384,176.648,148.66,215.695,252.069,125.854,101.804,111.134,162.853,152.351,92.893,139.887,144.586,140.206,137.489,95.942,45.628,75.26,101.056,125.632,81.587,62.735,80.761,102.151,45.945,186.066,194.823,110.316
654.1015462,76.69,27.057,83.942,73.977,90.847,115.452,92.057,87.048,49.454,87.447,105.364,73.964,142.881,110.873,91.269,53.978,81.032,119.948,80.148,73.935,74.991,102.838,211.791,177.296,144.962,208.928,249.312,123.859,95.491,116.59,163.055,153.493,87.895,135.714,144.932,148.172,142.915,97.743,46.057,74.206,101.077,120.654,80.581,61.42,81.264,101.781,46.929,181.206,189.646,109.84
654.5926134,78.015,30.204,82.87,70.643,95.581,116.234,86.459,86.297,48.779,88.305,108.863,69.58,141.183,111.54,95.008,53.952,79.356,122.53,72.623,71.403,76.558,102.087,217.076,178.733,151.363,225.853,275.729,124.603,100.863,119.763,169.919,161.332,91.122,139.019,150.876,150.83,150.288,103.507,48.733,86.766,110.846,123.511,82.349,63.948,84.325,102.116,42.29,197.604,214.393,113.384
655.0836807,80.984,27.795,85.929,71.31,94.067,115.764,84.477,83.147,50.493,88.228,103.518,70.525,138.687,112.614,92.742,55.074,77.85,121.145,77.727,71.748,77.105,104.564,221.094,183.419,154.66,225.542,273.264,143.065,105.402,117.466,173.669,156.456,91.942,144.553,152.185,143.929,142.301,104.09,46.605,75.701,106.133,125.451,83.755,62.149,81.181,102.343,44.996,178.098,199.282,112.739
655.5747479,80.472,28.36,82.021,66.029,95.642,112.527,87.511,90.227,48.677,87.501,106.325,73.519,147.222,111.382,98.19,53.487,79.759,120.39,78.849,76.45,79.219,106.332,223.691,189.503,160.622,224.613,260.507,125.244,102.924,116.557,169.841,163.415,91.937,143.19,146.93,146.262,137.52,98.034,46.167,75.303,103.058,122.139,83.293,63.443,82.899,103.462,47.364,166.375,190.655,112.144
656.0658151,80.185,28.663,79.883,75.971,96.987,115.227,95.374,87.777,50.862,87.815,105.46,72.088,146.171,113.064,98.072,53.84,79.858,121.544,74.745,71.219,77.859,101.58,223.128,186.376,150.046,233.426,271.403,130.656,104.52,120.832,169.383,162.302,91.097,142.841,145.336,151.217,152.125,104.267,46.042,85.952,104.356,123.755,81.764,62.461,85.908,102.604,44.989,194.485,202.558,114.042
656.5568824,78.713,28.308,81.18,69.24,99.466,115.205,91.363,82.055,49.166,87.415,104.47,68.765,143.107,113.699,98.009,50.565,77.931,121.196,78.054,72.346,78.491,105.141,221.348,188.334,152.912,218.765,244.91,138.049,102.793,125.311,182.239,164.118,98.655,135.929,151.29,148.74,146.444,111.218,47.937,81.922,107.768,128.051,82.253,61.013,82.048,102.889,46.258,204.275,212.371,113.913
657.0479496,82.488,28.566,83.083,67.661,91.537,117.744,87.943,82.065,48.959,95.394,108.337,71.914,144.072,112.885,95.962,50.766,78.901,119.556,78.192,69.11,76.779,111.804,227.99,186.08,147.527,234.114,285.576,144.731,115.456,120.16,176.758,171.638,91.409,147.071,155.227,148.79,153.137,110.897,46.633,79.619,103.353,127.275,83.318,67.647,85.871,103.382,46.92,195.618,214.101,115.796
657.5390168,81.152,28.342,85.649,70.503,95.692,115.523,88.884,90.145,50.985,92.882,108.655,73.242,150.095,108.711,96.944,50.591,82.557,124.412,78.783,77.36,80.094,105.357,224.718,199.29,152.466,238.937,266.375,141.609,114.194,123.401,175.79,165.831,96.204,142.351,152.033,149.624,163.526,116.314,49.535,78.827,110.689,126.79,80.746,62.559,84.352,105.119,43.973,210.238,238.406,117.356
658.030084,80.298,28.83,78.625,66.585,97.27,108.884,85.461,88.147,49.684,95.135,104.284,72.239,142.638,108.396,98.756,52.528,79.079,121.848,79.761,76.71,82.243,105.256,235.364,202.249,162.359,241.086,277.326,148.318,111.476,127.863,175.663,170.762,97.589,156.772,157.987,151.749,166.567,124.751,47.358,86.569,105.759,124.138,79.984,58.041,81.546,105.031,47.442,201.302,229.64,117.905
658.5211513,80.49,27.438,82.991,68.977,98,114.622,86.74,89.137,51.515,91.921,109.166,71.962,147.65,113.36,98.4,49.167,84.749,119.054,77.02,73.117,79.502,106.322,230.983,196.303,155.561,244.923,288,150.443,112.192,128.439,177.821,173.364,95.579,151.211,156.386,151.187,156.214,115.593,46.858,80.922,113.487,129.366,83.596,62.619,85.817,102.209,47.673,197.947,227.905,118.039
659.0122185,81.711,28.613,85.139,72.006,92.92,112.506,92.007,86.274,48.657,93.8,105.5,70.924,145.681,109.833,97.415,51.086,78.678,124.983,75.971,77.44,81.571,106.705,230.697,193.441,168.118,239.192,284.889,150.047,116.821,126.443,184.452,166.54,101.134,149.858,152.625,155.189,162.574,113.101,46.062,79.911,111.415,125.054,82.169,63.765,84.298,102.215,48.103,202.728,223.756,118.041
659.5032857,78.657,28.791,82.382,70.959,98.092,112.419,85.495,88.061,50.434,92.895,101.047,74.067,145.899,109.148,98.194,50.955,84.043,123.532,78.574,73.65,82.478,107.22,237.26,200.679,154.046,253.282,301.174,154.556,116.836,124.737,179.452,163.221,92.791,154.497,155.1,163.515,162.539,108.78,49.845,76.885,115.199,124.822,83.685,64.58,79.397,104.363,46.018,198.732,216.477,118.356
659.9943529,82.338,27.414,80.044,61.257,99.895,111.068,89.779,85.128,51.583,93.763,108.193,68.147,145.286,111.122,98.094,50.506,80.208,127.902,81.82,73.53,81.33,109.331,237.784,201.069,156.233,253.742,297.757,175.26,107.273,135.363,179.271,177.604,97.589,158.18,168.092,153.633,174.665,120.82,44.233,78.433,105.356,127.236,84.315,66.209,85.33,103.028,46.974,230.524,250.572,121.108
660.4854202,79.8,28.042,79.761,62.029,94.05,113.891,92.482,86.097,49.872,91.084,106.143,76.406,147.698,110.391,99.641,53.416,83.235,123.502,77.742,78.192,86.165,105.378,241.415,203.909,163,253.218,290.681,177.983,121.445,138.141,191.38,174.634,98.175,157.207,159.407,157.077,175.975,124.648,49.752,75.608,107.23,127.393,83.884,64.92,85.251,106.04,45.429,227.442,241.291,121.787
660.9764874,83.966,25.827,84.09,62.164,95.561,113.282,87.534,88.764,51.008,95.845,108.757,75.044,146.387,113.014,99.911,54.1,81.334,123.997,80.2,73.35,81.902,113.558,245.598,211.196,164.332,260.442,307.743,178.13,107.664,136.277,191.326,174.032,97.898,165.758,169.068,161.245,178.283,132.046,46.737,76.1,105.002,133.864,82.542,61.371,83.973,103.864,47.802,232.108,239.825,123.139
661.4675546,82.23,28.517,83.369,71.936,94.358,112.629,89.32,88.206,49.607,95.946,103.404,74.469,151.681,112.768,97.453,50.866,81.992,122.515,77.857,80.182,84.051,106.384,249.132,210.855,159.29,265.913,303.764,164.157,125.327,140.708,190.951,177.533,98.642,155.013,164.566,158.099,182.558,126.992,44.305,71.149,105.632,132.611,87.708,61.698,83.052,106.487,49.227,217.185,242.241,122.746
661.9586218,84.236,26.825,80.177,70.526,91.631,114.282,87.84,87.968,51.574,94.978,108.358,72.49,154.171,114.826,100.075,52.584,82.314,124.49,84.323,75.906,84.158,109.054,246.612,199.392,172.393,254.953,296.993,146.958,115.887,141.924,196.156,186.827,104.65,163.649,165.157,164.67,164.826,124.528,47.627,73.978,103.335,129.098,81.964,56.858,86.447,102.922,45.804,204.913,231.61,121.692
662.4496891,82.053,29.418,79.926,64.725,96.71,111.835,87.66,85.507,49.931,93.865,103.516,74.366,153.928,118.029,102.885,51.219,81.046,124.439,83.654,74.703,81.489,109.798,242.102,213.824,172.275,247.953,282.215,153.156,114.232,142.542,206.775,178.101,112.375,162.685,168.017,167.639,164.445,122.597,46.212,76.786,108.321,124.603,83.71,60.737,85.201,103.957,45.978,216.119,235.341,122.012
662.9407563,78.771,29.589,82.199,66.76,92.033,117.731,88.08,85.76,49.459,92.415,105.586,71.777,152.364,114.742,101.693,51.405,84.26,120.818,77.903,74.767,84.911,114.314,243.318,224.065,169.637,274.228,323.896,157.158,126.083,148.632,199.268,169.244,102.749,171.23,166.198,166.97,177.364,128.668,48.807,74.121,106.335,129.487,84.613,64.961,87.966,101.44,48.285,225.082,252.672,124.69
663.4318235,81.973,32.342,81.618,66.415,91.842,112.679,86.623,87.278,49.507,92.193,106.778,76.198,149.564,117.11,101.853,53.978,84.246,125.596,81.2,76.526,82.551,107.119,259.798,220.374,173.118,266.512,311.319,157.136,122.596,149.658,196.755,181.88,103.961,167.651,168.854,165.06,175.484,121.732,48.488,74.074,106.358,132.379,84.232,62.222,82.894,104.396,45.583,229.65,249.267,124.625
663.9228908,79.924,26.724,86.571,70.813,92.614,112.707,95.445,90.583,50.145,95.021,103.551,73.431,149.862,112.73,105.693,49.264,83.727,124.407,78.635,77.174,84.723,108.267,249.798,219.517,177.233,268.663,301.854,170.203,117.103,145.929,201.841,179.557,107.574,165.743,160.342,163.867,179.952,129.285,45.963,71.383,103.072,128.699,83.591,63.784,84.618,100.816,46.963,234.682,246.021,124.491
664.413958,78.254,28.805,83.969,69.474,100.892,114.815,91.765,87.312,50.792,93.559,103.399,73.09,159.097,113.236,103.52,49.301,78.907,120.799,80.061,72.182,84.292,110.018,252.285,224.428,177.344,272.291,307.194,172.481,129.651,151.643,198.888,181.936,106.474,168.441,172.189,174.034,179.262,134.001,45.753,68.82,105.75,129.072,87.492,62.186,84.654,99.53,47.616,223.224,234.624,125.282
664.9050252,85.637,27.576,84.453,75.129,94.78,110.74,89.142,86.724,49.663,95.839,108.721,75.807,156.422,113.701,107.898,56.524,82.71,125.115,80.869,77.16,94.46,117.423,252.985,236.018,173.958,272.936,302.069,164.215,119.828,151.779,208.268,186.004,102.613,181.376,176.514,172.918,191.075,131.59,46.367,72.21,101.789,128.19,86.385,59.621,86.539,101.719,47.357,237.771,259.128,127.504
665.3960924,81.211,28.449,80.723,67.69,94.193,116.329,87.189,92.749,50.676,94.254,110.109,73.794,162.44,131.909,116.788,53.766,85.323,126.581,82.183,89.728,94.5,132.987,257.539,238.258,196.031,274.017,325.125,184.875,135.478,148.708,202.231,190.056,104.73,174.99,175.625,173.77,194.298,131.417,50.467,75.03,104.913,127.335,84.697,66.178,81.447,107.738,47.148,235.799,269.728,130.841
665.8871597,83.37,28.835,86.702,65.205,94.745,119.243,91.185,89.686,51.671,98.589,108.154,73.395,168.675,136.01,125.893,57.97,83.148,128.588,81.839,92.049,95.404,134.93,259.709,231.421,195.71,272.1,306.181,192.344,126.458,155.689,199.464,187.619,108.864,172.906,175.972,179.034,191.162,137.473,50.07,84.377,108.623,125.931,87.049,63.34,84.72,106.351,47.067,247.529,267.773,131.841
666.3782269,82.833,28.525,84.376,66.193,100.361,112.274,86.374,88.371,48.937,98.832,105.686,72.729,175.265,139.182,134.117,52.398,84.67,128.488,81.725,90.681,97.408,141.575,261.977,245.889,198.34,275.369,321.542,198.233,138.48,153.897,209.504,182.221,104.91,179.553,173.689,168.567,192.397,146.864,49.037,95.874,113.23,135.5,85.926,61.237,85.201,105.315,45.818,249.281,271.57,133.682
666.8692941,84.227,29.229,83.792,63.48,99.854,113.565,90.336,96.712,50.723,102.323,106.832,68.95,186.268,163.046,148.82,47.238,84.24,123.559,81.657,101.207,108.884,150.408,268.313,238.982,208.397,274.008,309.882,195.699,126.166,152.569,203.896,183.85,108.618,184.649,182.128,183.59,202.161,152.958,48.382,85.236,106.225,132.739,83.656,62.459,88.136,100.982,49.288,262.993,274.761,135.838
667.3603613,82.606,29.685,87.171,68.485,98.894,115.733,89.879,87.533,50.802,92.822,107.152,72.344,190.029,156.923,152.09,57.888,81.326,130.41,83.857,102.053,106.636,157.628,271.545,249.056,207.664,284.197,308.451,181.04,117.649,155.849,205.911,190.452,110.564,190.697,182.174,179.041,206.211,146.569,44.96,93.273,110.967,133.73,80.75,62.394,85.722,107.369,46.788,248.364,269.423,136.179
667.8514286,84.461,27.929,84.686,73.088,99.017,118.525,95.112,91.657,49.684,101.888,106.66,74.821,194.185,165.843,164.212,49.729,80.711,129.715,81.19,110.734,110.73,168.54,277.875,262.45,208.508,280.34,331.986,201.58,136.303,151.742,213.294,185.385,109.185,191.931,189.386,180.485,204.638,146.587,47.072,96.552,111.838,130.976,85.62,65.508,87.772,110.53,48.991,250.256,285.27,139.902
668.3424958,81.475,29.835,84.991,71.006,99.517,117.244,84.872,92.141,49.485,100.335,108.704,75.987,202.821,173.561,169.775,52.989,82.929,125.549,80.005,113.556,116.902,168.723,280.638,258.098,213.683,283.654,324.84,178.818,135.424,160.214,216.069,189.178,108.331,195.023,188.773,190.543,197.652,141.731,46.933,89.532,111.67,132.83,83.121,63.747,87.239,105.328,46.947,246.112,290.078,139.768
668.833563,81.708,27.17,81.658,69.596,93.694,114.53,95.132,91.754,55.92,97.735,108.313,75.456,203.018,173.182,170.058,49.074,86.088,126.476,83.127,124.02,129.413,175.186,277.953,256.695,229.37,272.604,326.819,189.105,129.819,153.466,214.3,182.668,114.243,200.616,189.58,185.616,201.654,139.864,49.963,84.9,110.058,133.357,83.197,65.719,89.546,105.068,47.543,247.057,295.906,140.592
669.3246303,87.071,29.684,85.233,72.404,102.91,120.298,95.142,87.181,49.868,96.826,105.346,78.693,206.068,180.614,175.031,53.922,82.32,124.554,83.538,122.086,125.295,191.337,279.461,261.973,217.752,280.483,286.896,193.839,132.897,153.735,222.268,180.642,119.392,191.956,192.632,187.281,194.772,143.943,50.595,101.816,109.904,133.217,82.138,60.5,85.345,103.993,45.144,246.146,271.802,140.529
669.8156975,82.779,29.128,84.717,70.667,95.734,118.447,92.628,89.619,52.174,100.187,107.885,79.605,208.846,183.838,176.813,50.81,85.492,124.5,81.795,125.141,129.359,195.712,279.964,266.869,220.237,290.09,331.493,194.434,143.756,166.029,219.34,191.028,115.092,199.215,194.991,183.354,204.83,142.919,49.743,87.955,109.607,133.004,84.436,62.425,84.21,107.702,48.03,250.707,281.218,143.032
670.3067647,82.025,27.438,82.484,72.094,95.922,120.139,87.877,92.345,50.784,97.998,111.439,74.447,218.245,192.814,181.847,53.595,82.405,128.111,81.995,135.656,132.121,192.199,281.835,272.174,233.95,286.738,329.181,196.152,139.469,167.567,220.164,179.467,118.54,199.309,189.634,189.792,201.075,148.766,45.728,95.608,118.876,136,85.064,67.376,89.749,110.139,47.21,264.318,295.256,144.962
670.7978319,86.913,27.97,83.664,68.708,97.381,118.532,89.452,91.002,51.313,103.036,108.115,75.771,220.019,195.062,187.135,53.32,84.596,123.686,84.837,128.129,129.962,193.435,284.657,271.608,229.756,285.182,340.694,209.362,127.637,168.41,225.501,191.188,115.798,205.019,197.155,193.137,216.07,158.597,46.88,99.385,116.529,132.875,85.216,64.441,88.23,108.488,50.773,271.469,311.922,146.898
671.2888992,81.385,28.547,82.73,68.544,96.456,116.686,93.703,95.905,51.954,101.181,106.406,78.624,220.856,200.645,185.381,53.862,83.019,127.779,80.087,134.331,135.926,207.869,286.406,274.851,225.21,295.599,341.528,206.167,141.601,167.933,228.006,190.454,115.822,202.175,201.118,195.167,215.517,162.184,49.56,97.195,116.735,133.038,88.159,64.433,91.029,108.166,49.935,252.769,299.04,147.585
671.7799664,85.751,29.924,83.727,76.766,99.546,120.338,88.484,92.493,53.469,100.679,111.282,87.903,235.136,207.616,202.7,52.981,85.53,128.809,85.161,144.775,144.458,212.202,290.065,275.677,240.206,288.723,338.681,219.032,139.47,172.561,224.513,186.968,123.214,211.271,203.943,186.442,225.835,166.41,49.942,102.693,121.672,137.476,87.732,63.32,89.691,106.598,48.857,278.162,319.995,151.61
672.2710336,83.354,27.024,88.279,71.708,97.621,120.175,99.174,90.246,52.765,101.364,109.764,84.078,230.239,212.542,204.836,56.156,87.691,126.811,86.535,152.202,149.533,224.717,298.225,283.425,234.13,296.049,350.132,210.175,139.203,179.04,234.588,192.615,122.012,207.301,209.959,199.474,219.9,159.383,47.702,95.4,113.752,130.775,85.681,66.771,87.627,111.25,49.017,276.556,316.199,152.513
672.7621008,86.86,29.975,84.459,70.602,105.29,119.388,90.619,90.728,50.535,97.028,108.702,84.849,249.492,211.659,205.4,55.093,84.853,126.068,83.959,152.742,150.806,229.614,291.401,277.111,240.821,278.681,311.312,199.405,133.847,171.887,226.761,187.173,125.255,203.514,202.671,198.472,222.71,161.349,48.078,91.699,111.777,132.449,82.379,59.745,90.217,104.725,46.396,278.799,319.759,150.349
673.2531681,85.837,26.763,85.094,67.678,100.927,122.437,94.788,93.865,53.056,103.77,111.473,89.38,253.451,214.203,204.231,55.368,84.94,126.672,86.115,154.2,159.297,227.182,303.93,290.067,244.061,297.335,341.597,223.587,143.334,172.929,231.752,192.792,123.545,219.203,206.348,204.294,227.551,163.221,49.55,89.952,106.222,140.877,87.784,65.013,87.504,115.026,48.131,284.6,327.815,154.872
673.7442353,85.354,28.557,90.375,74.608,104.484,118.454,94.135,98.196,51.173,99.628,108.179,90.624,253.029,220.217,206.907,58.918,86.103,131.022,89.474,159.016,154.58,227.074,298.764,286.399,239.111,295.738,334.556,222.241,143.483,179.777,234.424,184.255,123.925,223.927,204.763,206.577,223.717,163.376,50.693,85.864,111.693,135.123,88.698,65.111,89.005,113.167,46.961,283.446,324.017,154.876
674.2353025,86.526,28.694,85.431,76.234,102.251,120.943,93.614,91.143,51.135,102.935,112.889,96.357,254.644,231.406,209.585,53.52,87.913,130.65,87.908,167.534,157.33,236.365,294.683,286.572,253.439,290.721,329.944,220.344,146.022,178.918,234.778,194.319,122.467,220.213,216.355,204.255,230.99,167.276,49.597,87.154,118.747,134.62,88.188,63.469,91.447,109.904,47.132,285.934,328.997,156.357
674.7263697,86.826,28.562,86.044,76.287,105.126,116.466,95.966,96.183,53.211,100.578,107.756,93.788,262.696,238.525,214.356,53.387,86.372,131.409,85.834,168.28,161.618,238.382,299.313,293.677,266.973,286.44,328.493,211.304,141.244,180.527,226.441,191.229,122.978,223.403,216.499,204.738,230.615,171.239,49.712,109.019,113.92,137.248,82.447,61.964,88.325,109.621,47.742,286.918,339.213,157.324
675.217437,89.951,28.045,88.444,75.316,104.26,121.023,89.991,91.821,51.038,99.107,108.108,98.962,263.973,234.874,212.961,56.309,87.431,131.627,89.197,172.581,165.259,243.054,307.478,279.601,245.382,294.219,327.694,228.797,144.358,182.034,235.187,195.028,126.577,219.459,214.632,212.052,239.126,170.29,49.917,111.093,119.113,138.692,83.754,60.5,90.971,113.788,46.684,281.892,337.253,158.345
675.7085042,89.036,29.599,87.546,65.708,105.514,124.815,94.594,97.754,53.563,106.041,111.084,92.46,264.899,228.203,213.729,51.074,88.472,131.652,91.2,169.777,165.121,244.091,304.233,293.363,249.87,290.492,330.708,219.814,142.347,183.099,244.314,191.058,125.601,224.48,221.908,223.974,234.647,164.16,50.333,101.119,111.244,136.335,85.607,59.129,90.892,105.646,47.809,295.32,346.61,158.776
676.1995714,85.338,28.295,84.782,72.444,101.621,120.116,89.957,95.674,51.08,97.6,108.739,91.214,266.798,230.21,209.626,58.546,87.349,131.145,85.552,168.761,159.694,245.727,310.063,287.461,248.286,296.069,353.701,218.871,144.494,180.601,238.003,197.015,120.589,226.557,211.991,206.588,230.507,163.509,49.165,109.968,119.11,139.404,85.139,63.954,87.262,107.921,50.17,278.554,341.882,157.9
676.6906387,86.862,27.481,86.305,71.561,106.368,124.305,93.027,92.897,53.185,103.834,108.33,96.643,270.737,235.761,210.903,54.316,87.792,132.395,91.092,170.309,166.333,244.835,312.077,278.568,246.011,293.008,325.104,210.799,134.69,183.702,238.683,196.94,124.54,226.647,220.183,212.002,223.252,165.906,48.772,115.485,122.339,142.795,85.49,63.629,93.133,109.329,48.217,288.76,343.924,158.556
677.1817059,86.309,29.047,87.445,79.971,107.502,118.151,93.539,93.059,52.07,99.652,113.23,91.036,271.817,233.497,208.433,64.271,86.293,126.144,86.772,164.039,161.221,244.462,316.138,283.815,256.218,300.594,341.174,217.446,143.557,183.477,240.833,190.319,122.684,223.894,217.421,221.693,234.045,173.455,50.137,111.532,119.944,136.308,88.467,66.149,93.199,115.149,46.574,304.201,347.853,160.086
677.6727731,85.862,27.798,84.398,76.649,101.661,119.903,96.961,100.331,53.789,101.46,116.229,96.42,278.661,235.131,211.733,56.454,85.014,128.142,88.885,169.084,155.435,241.027,305.273,286.016,256.111,296.778,340.736,218.145,141.207,190.155,239.17,188.107,120.754,235.094,221.591,212.725,226.572,162.532,47.748,93.55,115.541,140.23,90.176,64.235,85.899,115.677,48.99,282.437,340.565,158.715
678.1638403,83.214,27.263,83.583,73.713,100.998,117.116,88.29,96.156,51.64,99.398,114.206,92.523,273.004,226.074,208.708,60.108,86.596,130.331,84.051,165.585,164.835,241.104,317.802,283.633,258.286,292.244,333.319,212.975,132.478,176.471,242.752,195.169,128.195,223.43,222.129,216.058,225.814,166.17,48.945,90.751,116.162,141.147,84.124,63.879,89.673,108.679,50.251,287.979,350.532,157.705
